0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
3,523,512,385,321,238,192,152,149,157,108,100,89,77,72,61,47,35
3,549,537,392,298,231,198,168,165,126,108,101,93,81,95,63,63,16
3,543,512,385,288,241,195,160,173,130,109,107,88,80,69,55,22,40
0,523,537,392,297,239,202,162,152,124,96,96,95,86,74,79,43,36
3,536,508,394,297,244,195,182,150,143,109,111,89,85,78,63,41,31
5,516,536,401,298,237,209,173,144,126,108,101,91,84,48,48,40,36
23,538,514,390,284,243,194,154,159,128,109,105,111,82,78,61,40,49
2,518,568,397,294,239,199,160,141,125,110,127,93,82,68,55,42,33
4,543,540,387,301,239,196,164,146,127,111,100,91,81,91,63,36,40
3,522,538,395,297,255,203,162,145,124,109,82,88,80,72,59,45,37
2,538,506,393,307,245,222,162,144,120,113,100,95,76,72,58,40,37
3,516,506,402,298,220,204,162,144,126,115,101,89,76,72,57,47,39
3,540,506,422,294,241,203,164,128,126,127,100,90,74,75,59,44,31
5,523,511,415,295,228,193,169,143,126,119,98,86,86,73,58,41,32
3,521,512,405,306,243,179,168,128,123,96,101,88,95,103,48,41,32
8,522,537,416,298,234,180,167,144,123,109,97,93,78,99,59,39,37
0,516,506,386,307,240,195,162,144,124,113,100,88,80,72,55,51,35
3,517,530,396,298,238,218,165,144,125,108,103,97,80,64,64,44,32
3,536,506,391,298,238,193,164,144,127,109,96,90,77,72,52,24,41
4,523,531,399,294,232,210,167,143,131,109,86,89,89,71,56,46,35
5,543,511,386,294,238,192,168,141,126,96,101,91,81,73,62,51,34
6,522,537,397,296,238,215,167,144,143,110,119,84,81,74,55,40,36
15,524,511,386,292,247,195,166,147,124,110,109,95,86,93,70,38,32
27,516,529,399,303,239,207,171,147,112,108,82,88,82,78,83,61,36
7,536,506,391,320,231,192,165,169,126,109,102,96,111,72,20,40,31
0,522,531,416,315,236,203,191,153,133,110,106,95,86,52,57,32,41
3,571,512,386,305,255,193,183,128,125,110,105,103,80,72,56,40,32
5,552,512,412,284,239,207,191,128,145,117,102,69,82,75,61,48,18
3,559,513,386,288,255,196,174,144,119,110,105,88,80,72,55,36,41
18,517,507,393,298,235,195,167,147,143,127,100,91,81,94,79,40,39
3,516,509,390,289,255,196,152,145,126,127,119,89,88,71,61,63,34
0,517,534,415,295,232,193,179,143,125,116,102,111,79,64,48,41,35
7,521,520,389,288,255,194,164,142,129,90,104,86,82,73,57,44,55
5,523,558,415,295,235,199,168,141,122,133,102,80,87,77,64,39,32
5,522,539,386,294,291,195,162,142,124,109,85,88,77,80,56,39,36
3,517,565,423,299,255,202,148,151,112,119,101,88,81,64,55,43,33
23,517,508,393,297,263,198,161,144,123,112,98,94,80,91,79,43,31
3,516,533,431,298,242,206,168,159,126,109,125,103,81,71,60,40,37
0,517,506,417,294,248,217,164,142,131,111,104,78,84,64,56,42,42
4,521,538,432,295,232,193,168,147,125,110,80,89,82,68,55,39,26
5,524,512,403,294,235,204,161,142,136,114,97,69,101,77,55,40,40
11,523,538,407,297,239,168,165,152,124,114,119,87,80,75,57,36,36
3,517,505,386,298,224,192,165,143,130,109,96,88,80,73,61,39,37
0,516,505,415,297,232,184,162,129,130,108,96,89,81,119,77,48,39
3,516,506,394,294,224,193,165,143,126,117,102,90,81,79,60,41,45
0,522,511,387,295,235,193,168,133,126,110,97,95,78,64,56,40,36
4,522,511,385,295,224,192,166,151,127,117,103,91,80,77,60,44,16
3,524,537,403,299,235,196,163,130,123,114,96,79,103,68,60,41,37
6,517,506,391,298,228,195,166,153,127,119,99,89,80,78,55,40,38
5,520,531,406,301,231,196,166,144,125,113,123,84,80,71,56,71,39
15,520,505,389,294,224,193,195,144,132,96,98,90,81,75,57,40,35
0,530,540,401,301,236,192,187,143,125,111,96,93,81,76,57,44,59
0,547,514,385,295,220,193,174,143,149,116,84,90,78,72,63,44,32
4,550,541,407,318,235,192,160,142,124,113,98,84,85,79,61,39,36
3,544,512,389,298,228,194,164,144,143,127,99,80,89,80,51,40,40
5,519,534,411,289,239,195,165,141,119,107,101,89,95,74,58,39,27
3,516,508,390,288,232,193,164,141,126,109,95,93,79,75,56,43,39
7,517,519,405,295,234,192,163,142,126,107,110,100,82,83,56,41,39
5,522,519,389,294,232,193,168,139,125,92,102,70,81,71,61,25,16
7,523,512,407,294,254,193,166,142,127,110,125,92,83,58,59,41,32
0,523,538,389,297,255,197,183,147,124,115,103,88,81,73,53,32,32
2,517,505,397,298,248,196,166,142,149,105,131,68,84,73,61,37,31
6,516,505,394,298,244,199,181,149,126,109,118,89,80,74,71,39,35
3,517,533,431,295,224,198,167,142,108,111,102,89,91,101,44,51,31
0,521,512,386,294,232,219,175,147,129,110,96,91,87,80,79,36,38
3,522,539,373,295,235,207,163,143,124,127,102,94,80,64,55,20,32
5,522,511,386,297,234,196,162,151,123,110,102,87,81,73,60,44,33
3,516,538,404,300,240,198,161,146,129,96,96,88,84,72,60,40,39
0,516,506,394,297,239,196,162,169,124,111,97,76,78,72,53,69,37
7,516,533,404,299,233,192,168,169,127,113,96,90,81,71,60,44,35
3,523,506,389,294,235,193,149,163,125,111,97,90,87,71,65,61,37
0,523,522,400,295,236,192,167,149,127,109,97,91,81,75,67,36,36
4,523,513,385,294,238,195,165,142,123,109,99,88,80,73,59,32,16
3,519,521,403,298,235,195,162,144,131,114,103,93,83,94,58,39,36
4,519,507,391,298,234,197,190,144,123,107,123,88,85,77,57,39,31
6,519,505,406,298,236,195,168,143,131,96,103,90,88,67,56,46,39
5,517,506,390,297,231,194,168,128,126,108,84,95,72,71,63,41,39
0,540,511,385,299,236,192,169,143,149,115,103,97,87,75,60,63,36
3,522,513,385,321,239,193,168,128,125,110,97,90,77,73,59,47,36
3,547,539,380,326,239,194,167,144,135,114,99,84,76,68,60,20,36
3,517,506,390,312,235,196,165,144,127,114,96,89,80,64,61,41,36
5,519,534,386,309,236,195,161,144,126,112,88,89,76,69,85,44,35
2,516,508,391,288,238,194,163,144,133,135,99,84,88,79,56,45,33
5,523,542,384,294,235,193,167,143,120,108,102,90,82,79,65,48,33
4,522,516,390,294,239,194,164,142,124,114,104,90,103,52,55,40,47
0,523,571,384,296,255,196,168,144,123,110,103,87,80,76,51,39,33
4,528,539,397,299,239,195,162,144,124,113,96,88,64,72,55,47,47
3,516,558,384,299,250,196,165,146,124,108,104,113,81,54,61,43,37
7,512,527,418,298,232,194,168,142,121,113,96,90,86,75,53,55,27
3,517,515,413,295,224,193,171,145,125,108,102,96,83,71,57,44,35
3,521,511,405,295,236,199,167,142,126,133,104,94,85,73,69,40,36
5,524,511,402,294,240,195,171,143,123,110,98,92,95,81,55,40,25
7,521,512,384,298,235,221,163,170,125,119,95,89,75,75,36,39,33
4,518,509,392,299,240,207,169,170,127,107,100,88,64,77,63,39,35
0,516,507,390,297,231,186,166,148,127,109,96,94,86,74,56,40,35
25,518,532,386,295,232,180,191,129,125,107,97,91,85,72,62,36,36
3,521,516,389,294,235,196,168,142,130,113,102,94,84,71,60,63,42
0,524,541,384,295,234,192,191,142,127,110,103,92,81,78,63,47,36
3,523,512,390,297,238,198,162,144,129,111,103,80,95,72,59,0,12
3,518,533,392,299,242,195,172,167,130,111,127,89,79,78,36,45,35
5.096354411,10.87813115,16.0270573,12.21614679,7.247430753,9.856259868,8.190312089,8.677708584,9.386488247,7.437714431,7.662871261,9.550271031,,,,,,